"job_role","job_level","location","actual_base","actual_start_date","time_to_fill","base_low","base_mid","base_high","currency"
,"E1","North America",360000,"2026-07-21",3,,,,"USD"
,"E1","North America",325000,"2026-07-21",22,,,,"USD"
"TAM (IC)","IC4","Europe",120000,"2026-08-04",24,83300,119000,142800,"EUR"
"Renewals (IC)","IC3","Europe",73200,"2026-07-21",28,51240,73200,87840,"EUR"
"Software Engineer (IC)","IC4","North America",300000,"2026-06-23",3,165900,237000,284400,"USD"
"Engineering (M)","M8","North America",350000,"2026-06-02",2,269500,385000,462000,"USD"
"TAM (IC)","IC4","North America",170000,"2026-05-12",2,111300,159000,190800,"USD"
"Marketing (IC)","IC6","Europe",130000,"2026-07-14",8,81900,117000,140400,"EUR"
"Marketing (IC)","IC6","Australia",301600,"2026-06-16",8,211120,301600,361920,"AUD"
"Channel Sales (IC)","IC5","Europe",142200,"2026-06-16",24,99540,142200,170640,"EUR"
,"IC3","North America",,"2026-08-01",51,,,,"USD"
,"IC4","North America",158000,"2026-05-27",30,,,,"USD"
,"E1","North America",325000,"2026-05-12",0,,,,"USD"
,"IC7","North America",350000,"2026-04-28",7,,,,"USD"
"Software Engineer (IC)","IC5","North America",350000,"2026-06-02",2,175350,250500,300600,"USD"
"BDR (IC)","IC1","Australia",2520000,"2026-06-02",46,61250,87500,105000,"AUD"
,,"Australia",225000,"2026-04-21",8,,,,"AUD"
"Data Engineering (M)","M5","North America",315000,"2026-04-28",0,150500,215000,258000,"USD"
,"IC5","North America",,"2026-07-07",86,,,,"USD"
"Software Engineer (IC)","IC5","North America",250000,"2026-05-27",0,175350,250500,300600,"USD"
"Security Engineering (IC)","IC3","North America",235000,"2026-05-12",42,170100,243000,291600,"USD"
,"M6","North America",320000,"2026-03-10",2,,,,"USD"
"Solutions Engineer (IC)","IC4","Europe",157500,"2026-07-21",77,91875,131250,157500,"EUR"
"IT (IC)","IC4","North America",163000,"2026-07-21",68,114100,163000,195600,"USD"
"Software Engineer (IC)","IC5","North America",350000,"2026-06-16",1,175350,250500,300600,"USD"
"People (IC)","IC4","North America",175000,"2026-05-05",55,132650,189500,227400,"USD"
"Security Engineering (IC)","IC4","North America",215000,"2026-04-14",32,199150,284500,341400,"USD"
"AE Mid-Enterprise (IC)","IC3","North America",89000,"2026-06-09",86,50750,72500,87000,"USD"
"Executive Admin (IC)","IC4","North America",155000,"2026-02-24",2,113400,162000,194400,"USD"
"Support (IC)","IC4","North America",155000,"2026-04-14",51,94500,135000,162000,"USD"
"AE Strategic (IC)","IC6","North America",,"2026-07-07",,105000,150000,180000,"USD"
"Sales Enablement (IC)","IC7","North America",180000,"2026-02-09",2,167300,239000,286800,"USD"
"Solutions Engineer (IC)","IC4","North America",251250,"2026-05-19",83,128100,183000,219600,"USD"
"Solutions Engineer (M)","M6","North America",260000,"2026-02-09",6,169575,242250,290700,"USD"
"IT (IC)","IC2","North America",90000,"2026-03-03",7,76300,109000,130800,"USD"
,"IC4","Europe",290000,"2026-02-24",,,,,"EUR"
"AE Corporate Sales, Overlay (IC)","IC4","North America",175000,"2026-07-07",1,88200,126000,151200,"USD"
"Executive Admin (IC)","IC3","North America",110000,"2026-04-28",44,104300,149000,178800,"USD"
"Legal (IC)","IC4","North America",200000,"2026-05-05",50,151900,217000,260400,"USD"
"Deal Desk (IC)","IC3","North America",135000,"2026-05-12",65,90300,129000,154800,"USD"
"AE Mid-Enterprise, Strategic (M)","M6","North America",215000,"2026-03-03",28,134400,192000,230400,"USD"
"Engineering (M)","M5","Europe",150000,"2026-02-24",8,137200,196000,235200,"EUR"
"Solutions Engineer (IC)","IC3","Japan",262500,"2026-04-07",42,7944300,11349000,13618800,"JPY"
"Support (M)","M5","North America",172845,"2026-02-01",,142800,204000,244800,"USD"
"TAM (IC)","IC4","North America",230400,"2026-02-09",13,111300,159000,190800,"USD"
"TAM (IC)","IC4","North America",230400,"2026-04-14",56,111300,159000,190800,"USD"
"AE Mid-Enterprise, Strategic (M)","M4","North America",,"2026-08-03",28,91000,130000,156000,"USD"
