job_role,job_level,location,actual_base,actual_start_date,time_to_fill,currency,base_low,base_mid,base_high
Software Engineering,IC4,,,06-29-2026,,,,,
Software Engineering,IC4,,,06-29-2026,,,,,
Software Engineering,IC6,North America - USA - A,,06-29-2026,,USD,264000.0,330000.0,396000.0
Business Operations,IC4,North America - USA - A,,06-29-2026,,USD,144000.0,180000.0,216000.0
Software Engineering,IC3,North America - USA - A,,09-28-2026,,USD,172000.0,215000.0,258000.0
Product Management,IC5,North America - USA - A,,07-13-2026,,USD,208000.0,260000.0,312000.0
Software Engineering,IC5,North America - USA - A,,07-13-2026,,USD,232000.0,290000.0,348000.0
Software Engineering,IC5,North America - USA - A,,07-13-2026,,USD,232000.0,290000.0,348000.0
Software Engineering,M4,North America - USA - B,,09-28-2026,,USD,204000.0,255000.0,306000.0
Forward Deployed Engineer,IC4,North America - USA - B,,07-13-2026,,USD,126000.0,157000.0,189000.0
Software Engineering,IC4,North America - USA - B,,07-13-2026,,USD,177000.0,221000.0,265000.0
Software Engineering,IC4,North America - USA - A,,07-13-2026,,USD,208000.0,260000.0,312000.0
Software Engineering,IC4,North America - USA - A,,07-13-2026,,USD,208000.0,260000.0,312000.0
Software Engineering,IC4,North America - USA - A,,07-13-2026,,USD,208000.0,260000.0,312000.0
Software Engineering,IC4,North America - USA - B,,07-13-2026,,USD,177000.0,221000.0,265000.0
Software Engineering,IC5,North America - USA - A,,07-13-2026,,USD,232000.0,290000.0,348000.0
Software Engineering,IC5,North America - USA - B,,07-13-2026,,USD,204000.0,255000.0,306000.0
Software Engineering,IC5,North America - USA - B,,07-13-2026,,USD,204000.0,255000.0,306000.0
Software Engineering,IC2,North America - USA - A,135200.0,06-15-2026,5.0,USD,136000.0,170000.0,204000.0
Partner Program,IC5,North America - USA - A,250000.0,06-22-2026,22.0,USD,172000.0,215000.0,258000.0
Software Engineering,IC4,Europe - Western - Netherlands,,08-31-2026,2.0,EUR,143000.0,179000.0,215000.0
Account Executives,M4,Europe - Western - United Kingdom,,07-06-2026,42.0,GBP,126000.0,140000.0,154000.0
account executives Major,IC4,North America - USA - B,,08-03-2026,37.0,USD,149000.0,165000.0,182000.0
Solutions Architect,IC3,North America - USA - A,161250.0,06-08-2026,3.0,,,,
Sales Development,IC2,Europe - Western - United Kingdom,,07-06-2026,70.0,GBP,45000.0,50000.0,55000.0
Solutions Architect,IC3,North America - USA - A,,08-03-2026,32.0,USD,132000.0,165000.0,197000.0
Data Platform Engineer,IC6,North America - USA - A,360000.0,05-26-2026,5.0,,,,
Account Executives Commercial,IC3,North America - USA - B,,01-04-2027,6.0,,,,
FP&A,IC2,North America - USA - A,156000.0,05-26-2026,14.0,,,,
account executives Major,IC4,North America - USA - A,165000.0,05-18-2026,2.0,,,,
Product Partnerships Development,IC5,North America - USA - A,,06-29-2026,38.0,USD,172000.0,215000.0,258000.0
Product Design,IC2,North America - USA - A,114400.0,06-15-2026,36.0,,,,
Software Engineering,IC2,North America - USA - A,114400.0,06-08-2026,0.0,,,,
,IC2,North America - USA - A,,09-07-2026,35.0,,,,
Software Engineering,IC2,North America - USA - A,135200.0,05-26-2026,0.0,,,,
Software Engineering,IC2,North America - USA - A,135200.0,06-15-2026,30.0,,,,
Software Engineering,IC2,North America - USA - A,135200.0,06-15-2026,0.0,,,,
